Comment;date;symbol;drawdown_open_1;maxrunup_open_1;open;volume;gap;adr;;eps_estimate;reported_eps;surprise_pct;total_revenue;numberOfFunds;marketCapitalizationPrimary;numberOfFunds_prev;earnings_acceleration;sales_acceleration;atr;vwap;close_ma_10;ema_12;ema_26;MACD;signal;hist;close_ma_20;volume_avg_10
;2023-02-23 00:00:00+00:00;NVDA;-4,88;17,7;234,4;111799500;12,94;9,94;;0,81;0,88;8,75;6051000000;;;;0;2,02;49,38;-1678,7;219,59;216,91;206,02;10,89;12,18;-1,3;213,84;55646890
;2023-02-23 00:00:00+00:00;TMDX;-7,21;11,46;74,9;2209600;16,05;3,82;;-0,3;-0,21;30;25683000;;;;0;;17,72;43,26;67,04;67,58;65,75;1,84;1,49;0,34;66,61;607080
;2023-02-22 00:00:00+00:00;WIX;-5,55;6,74;91,81;4466800;13,52;3,74;;0,09;0,61;546,67;345805000;;;;916,67;;16,32;82,1;86,73;87,05;86,26;0,8;1,29;-0,49;87,94;973570
;2023-02-22 00:00:00+00:00;WING;-6,77;2,28;189,42;2779500;13,96;7,01;;0,41;0,6;47,82;92672000;;;;33,33;;50,3;125,03;167,33;167,97;161,96;6,02;4,99;1,03;163,8;992200
;2023-02-17 00:00:00+00:00;IBIO;-33,74;53,37;32,6;4017286;117,28;3,72;;-1,85;-2,05;-10,51;0;;;;0;;26;41,93;20,61;19,47;17,9;1,57;0,97;0,61;17,65;541890,5
;2023-02-17 00:00:00+00:00;SWAV;-10,13;2,25;214,67;1493500;12,25;9,17;;1,01;1,18;17,38;131330000;;;;0;;45,26;207,67;187,39;189,25;191,71;-2,45;-4,87;2,41;187,37;608600
;2023-02-17 00:00:00+00:00;HUBS;-5,11;0,65;415,68;2558600;14,85;16,8;;0,82;1,11;34,66;443958000;;;;0;;89,16;363,73;364,76;365,98;350,68;15,29;14,92;0,37;361,75;945100
;2023-02-16 00:00:00+00:00;WST;-2,81;8,21;312,58;1566600;11,96;7,21;;1,38;1,77;28,61;686900000;;;;-12,81;;75,64;295,33;276,54;278,6;268,15;10,45;7,83;2,62;271,37;737200
Retrace same day;2023-02-07 00:00:00+00:00;BIDU;-3,06;1,09;159,15;14472500;11,43;4,95;;15,33;16,87;10,05;32540000000;;;;0;;35,11;130,13;143,45;143,49;136;7,49;6,45;1,04;138,65;5182320
;2023-02-06 00:00:00+00:00;FFIE;-40,93;1,93;103,6;2436385;19,91;12,31;;-0,37;-0,31;16,22;0;;;;0;;79,6;105,12;70,86;66,56;55,65;10,91;9,85;1,06;56,91;989745,1
Retrace same day;2023-02-02 00:00:00+00:00;ALGN;-1,16;9,62;336,5;4437200;19,1;9,9;;1,56;1,73;10,9;890348000;;;;0;;156;299,78;270,92;273,78;250,6;23,18;15,56;7,62;252,42;1456790
;2023-02-02 00:00:00+00:00;META;-1,76;7,51;183,38;150475700;19,76;4,97;;2,22;1,76;-20,6;27714000000;;;;0;;72,62;1515,25;150,42;151,02;140,57;10,45;7,26;3,19;141,74;43002380
;2023-01-26 00:00:00+00:00;TSLA;-3,26;36,06;159,97;234815100;10,76;7,54;;1,13;1,19;5,55;21454000000;;;;0;;59,61;-7550,12;135,92;137,39;137,82;-0,44;-6,6;6,16;126,19;183079000
;2023-01-24 00:00:00+00:00;GROM;-20,99;16,36;64,8;3592405;45,95;7,48;;-3;-5,1;-70;1484958;;;;0;;51,2;76,93;34,92;37,98;42,07;-4,08;-9,95;5,87;32,36;558846,5
;2023-01-18 00:00:00+00:00;FFIE;-9,85;124,11;47,12;1280561;24;5,04;;-0,37;-0,31;16,22;0;;;;0;;30,48;113,33;33,66;34,86;32,39;2,47;0,05;2,43;29,9;494152,9
;2023-01-10 00:00:00+00:00;PRE;-31,05;0,33;45,9;2866573;64,52;4,15;;-0,62;0,04;106,45;79680227;;;;0;;19,5;54,76;29,72;30,11;31,15;-1,04;-1,46;0,42;30,74;289686
;2023-01-05 00:00:00+00:00;NVCR;-12,76;10,97;108,16;11926800;53,35;4,94;;-0,26;-0,25;4,37;130998000;;;;0;;52,6;76,9;77,19;79,57;77,24;2,33;-0,21;2,53;76,47;1733260
;2023-01-04 00:00:00+00:00;VVOS;-15,05;43,79;51,5;4538788;178,38;3,79;;-0,28;-0,33;-17,86;4246000;;;;0;;65,53;55,54;15,46;17,28;14,69;2,6;-0,25;2,85;12,44;469459,2
Retrace same day;2023-01-04 00:00:00+00:00;CRKN;-50;3,81;34,68;1259780;212,43;3,89;;-0,28;-0,18;35,71;0;;;;0;;33;19,77;11,02;11,58;11,38;0,21;-0,58;0,78;10,18;142891,9
